출사 장소 리스트,거리&골목길,건축물,공원,광화문&종로,궁궐,다리,산,서촌&북촌,식물,역사 문화 공간,자연산책로,캠퍼스,야경&전망,테마파크,한강,위도,경도,주소,,,id,navermap
N서울타워,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,37.5512168,126.9882475,서울 용산구 남산공원길 105,,,13416926,"http://map.naver.com/entry/place/13416926?c=15.00,0,0,0,dh"
가로수길,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5196922,127.0230887,서울특별시 강남구 신사동,,,11662870,"http://map.naver.com/entry/place/11662870?c=15.00,0,0,0,dh"
강서한강공원강서습지생태공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,37.5867077,126.8182416,서울특별시 강서구 방화동 2-15,,,13470978,"http://map.naver.com/entry/place/13470978?c=15.00,0,0,0,dh"
건국대학교 서울캠퍼스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5438882,127.0759546,서울 광진구 능동로 120,,,11591478,"http://map.naver.com/entry/place/11591478?c=15.00,0,0,0,dh"
경복궁,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.5788407,126.9770162,서울 종로구 사직로 161,,,11571707,"http://map.naver.com/entry/place/11571707?c=15.00,0,0,0,dh"
경희대학교 서울캠퍼스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5964493,127.0525009,서울 동대문구 경희대로 26,,,11591494,"http://map.naver.com/entry/place/11591494?c=15.00,0,0,0,dh"
계동 일대,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.5804192,126.986756,서울특별시 종로구 계동,,,18671515,"http://map.naver.com/entry/place/18671515?c=15.00,0,0,0,dh"
고려대학교 서울캠퍼스,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.5899102,127.0318121,서울 성북구 안암로 145,,,11591498,"http://map.naver.com/entry/place/11591498?c=15.00,0,0,0,dh"
광나루한강공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,37.5460321,127.1190832,서울특별시 강동구 천호동 351-1,,,18921320,"http://map.naver.com/entry/place/18921320?c=15.00,0,0,0,dh"
광화문광장,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.5740533,126.9768907,서울 종로구 세종대로 175,,,13349962,"http://map.naver.com/entry/place/13349962?c=15.00,0,0,0,dh"
국립중앙박물관,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,37.5240867,126.980388,서울 용산구 서빙고로 137,,,11620570,"http://map.naver.com/entry/place/11620570?c=15.00,0,0,0,dh"
길상사,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5986549,126.9941046,서울 성북구 선잠로5길 68,,,11569537,"http://map.naver.com/entry/place/11569537?c=15.00,0,0,0,dh"
낙산공원,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,37.580477,127.007587,서울 종로구 낙산길 41,,,13299765,"http://map.naver.com/entry/place/13299765?c=15.00,0,0,0,dh"
낙원악기상가,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,37.573082,126.9880334,서울 종로구 삼일대로 428,,,13527340,"http://map.naver.com/entry/place/13527340?c=15.00,0,0,0,dh"
남산골한옥마을,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5584554,126.993561,서울 중구 퇴계로34길 28,,,13198659,"http://map.naver.com/entry/place/13198659?c=15.00,0,0,0,dh"
노들섬,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,37.5176704,126.9580519,서울 용산구 양녕로 445,,,1640249712,"http://map.naver.com/entry/place/1640249712?c=15.00,0,0,0,dh"
달맞이봉공원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.543564,127.0212054,서울특별시 성동구 금호동4가 산27,,,18782790,"http://map.naver.com/entry/place/18782790?c=15.00,0,0,0,dh"
대현산 장미원,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,37.5521286,127.02882,서울 성동구 독서당로63길 60,,,1294499581,"http://map.naver.com/entry/place/1294499581?c=15.00,0,0,0,dh"
동대문디자인플라자,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5675465,127.0099323,서울 중구 을지로 281,,,18063223,"http://map.naver.com/entry/place/18063223?c=15.00,0,0,0,dh"
동작대교,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37.510825,126.9819963,서울특별시 용산구 이촌동,,,18726869,"http://map.naver.com/entry/place/18726869?c=15.00,0,0,0,dh"
뚝섬한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5294517,127.0706769,서울 광진구 강변북로 139,,,13416890,"http://map.naver.com/entry/place/13416890?c=15.00,0,0,0,dh"
롯데월드 어드벤처,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5110793,127.0981638,서울 송파구 올림픽로 240,,,11583235,"http://map.naver.com/entry/place/11583235?c=15.00,0,0,0,dh"
롯데월드타워,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,37.5125701,127.1025624,서울 송파구 올림픽로 300,,,35306752,"http://map.naver.com/entry/place/35306752?c=15.00,0,0,0,dh"
망리단길,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5541652,126.905468,서울특별시 마포구 망원동 403-7,,,38510632,"http://map.naver.com/entry/place/38510632?c=15.00,0,0,0,dh"
망원 한강공원,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,37.5553018,126.8952798,서울 마포구 마포나루길 467,,,13416958,"http://map.naver.com/entry/place/13416958?c=15.00,0,0,0,dh"
명동대성당,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5634247,126.9872302,서울 중구 명동길 74,,,11781308,"http://map.naver.com/entry/place/11781308?c=15.00,0,0,0,dh"
문래창작촌,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.5141855,126.8971793,서울 영등포구 도림로128가길 13-8,,,34573843,"http://map.naver.com/entry/place/34573843?c=15.00,0,0,0,dh"
