id,name,category,addr,latitude,longitude
0,빈키스 중계브라운스톤점,카페,서울 노원구 동일로203가길 29,37.6399301,127.0642714
1,스시현,일식,서울 강동구 천호대로158길 19,37.5365557,127.1263916
2,더스테이크쥬벤쿠바,양식,서울 마포구 동교로38길 27-5,37.5617905,126.9257054
3,익선디미방,양식,서울 종로구 수표로28길 17-27,37.5735311,126.9894729
4,바다회사랑,한식,서울특별시 마포구 동교로27길 60,37.5604168,126.9210497
5,명동교자 본점,한식,서울 중구 명동10길 29,37.5625768,126.9857689
6,감성타코 강남역점,기타,서울 강남구 강남대로 406,37.4990209,127.0276559
7,배키욘방,일식,서울 종로구 돈화문로11다길 41,37.5736854,126.9898553
8,타코튜즈데이 성수 본점,기타,서울 성동구 왕십리로10길 10,37.5467367,127.0456048
9,로코스비비큐 경리단길본점,한식,서울 용산구 회나무로 83,37.540981,126.9955317
10,서울신라호텔 더 파크뷰,뷔페,서울 중구 동호로 249,37.5558806,127.0051533
11,남산돈까스,양식,서울 중구 소파로 23,37.5561159,126.9795446
12,익선잡방,카페,서울 종로구 수표로28길 17-21,37.573386,126.9894603
13,독립밀방 서울역,양식,서울 용산구 한강대로 405,37.5548376,126.9717326
14,고도식,한식,서울 송파구 백제고분로45길 28,37.5103691,127.1086793
15,단토리,기타,서울특별시 강서구 공항대로 247,37.5593135,126.8352391
16,롯데호텔서울 라세느,뷔페,서울 중구 을지로 30,37.5654272,126.9816208
17,런던 베이글 뮤지엄 안국점,카페,서울 종로구 북촌로4길 20,37.5791729,126.9862172
18,앤티크커피 잠실점,카페,서울 송파구 백제고분로41길 21-16,37.507609,127.1063355
19,바다회사랑2호점,한식,서울 마포구 동교로 143,37.5554831,126.9177753
20,장지녕 간장게장,기타,서울 용산구 독서당로 46,37.5324376,127.0071458
21,소문난성수감자탕,한식,서울특별시 성동구 연무장길 45,37.5428792,127.0544255
22,원조마늘곱창,한식,서울특별시 영등포구 경인로79길 17-1,37.5133515,126.8934619
23,파이어로버스와인클럽,양식,서울 종로구 옥인3길 23,37.5803611,126.9658026
24,쌤쌤쌤,양식,서울 용산구 한강대로50길 25,37.5315768,126.972159
25,감성타코 합정점,기타,서울 마포구 월드컵로3길 14,37.5512008,126.9119
26,트라가 삼성점,양식,서울 강남구 삼성로 511,37.5076711,127.055598
27,동경산책 석촌호수점,일식,서울 송파구 백제고분로45길 15,37.5095912,127.1096876
28,파이브가이즈 여의도,패스트푸드,서울 영등포구 여의대로 108,37.5266691,126.9271941
29,맨홀커피,카페,서울특별시 영등포구 영신로 247,37.5299256,126.9033071
30,고고갈비 홍대상수점,한식,서울 마포구 독막로 77,37.5479355,126.9221025
31,로니로티 건대점,양식,서울 광진구 아차산로 225,37.5409361,127.0684847
32,꾸아 성수점,아시아음식,서울 성동구 서울숲4길 26-24,37.5466347,127.0432793
33,몰또 이탈리안 에스프레소바,카페,서울 중구 명동길 73,37.5644217,126.9862498
34,신사만장어,한식,서울특별시 강남구 도산대로1길 10,37.5173949,127.0201746
35,애슐리퀸즈 잠실롯데캐슬점,기타,서울 송파구 올림픽로 269,37.5144295,127.1006486
36,잠실물결,일식,서울 송파구 백제고분로7길 32-17,37.5100945,127.0828018
37,은행골 신사점,일식,서울 강남구 강남대로152길 42,37.518006,127.0227728
38,야끼니꾸소량 잠실새내점,일식,서울 송파구 백제고분로7길 20,37.5105115,127.0810293
39,세상의모든아침,카페,서울 영등포구 여의대로 24,37.5221784,126.919944
40,파이브가이즈 강남,패스트푸드,서울특별시 서초구 강남대로 435,37.5011826,127.0255738
41,아베베베이커리 서울,카페,서울 종로구 청계천로 201,37.5695463,126.9999438
42,도동집,한식,서울특별시 용산구 후암로48길 1,37.5528626,126.9768352
43,텍사스데브라질 센트럴시티점,양식,서울 서초구 사평대로 205,37.5044921,127.0078453
44,남기남 부대찌개 명동점,한식,서울 중구 명동4길 16-1,37.5629097,126.9836481
45,롯데호텔월드 라세느,뷔페,서울 송파구 올림픽로 240,37.5110794,127.0981638
46,콘래드서울 제스트,뷔페,서울 영등포구 국제금융로 10,37.5255723,126.9266142
47,표현식당 방이점,한식,서울 송파구 올림픽로32길 18-22,37.5141059,127.1081589
48,웨스틴 조선 서울 아리아,뷔페,서울 중구 소공로 106,37.5644687,126.9800463
49,런던베이글뮤지엄 잠실점,카페,서울 송파구 올림픽로 300,37.5125702,127.1025625
